City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
318,namatanai,-3.6667,152.4333,299.87,26.720000000000027,78,59,3.07,PG,1674818754
319,ahipara,-35.1667,173.1667,292.99,19.840000000000032,95,87,2.66,NZ,1674818754
320,ous,60.9058,61.5186,269.78,-3.3700000000000045,92,100,2.01,RU,1674818755
321,batagay-alyta,67.8006,130.4114,233.6,-39.54999999999998,89,72,1.73,RU,1674818756
322,portales,34.1862,-103.3344,269.23,-3.919999999999959,56,0,6.46,US,1674818756
323,namibe,-15.1961,12.1522,298.91,25.760000000000048,68,69,4.63,AO,1674818756
324,jizan,17.3333,42.6667,303.67,30.52000000000004,43,22,3.08,SA,1674818757
325,forestville,38.8451,-76.875,274.98,1.830000000000041,75,0,1.54,US,1674818757
326,notre-dame-du-lac,47.6136,-68.7964,254.34,-18.809999999999974,91,34,2.99,CA,1674818758
327,athabasca,54.7169,-113.2854,264.38,-8.769999999999982,94,99,4.09,CA,1674818758
328,boyuibe,-20.4167,-63.2833,294.82,21.670000000000016,88,88,0.86,BO,1674818759
329,lisakovsk,52.5369,62.4936,265.71,-7.439999999999998,82,36,5.98,KZ,1674818759
330,ukiah,39.1502,-123.2078,280.46,7.310000000000002,82,0,0.0,US,1674818759
331,bac lieu,9.285,105.7244,298.65,25.5,79,100,5.8,VN,1674818554
332,marienburg,54.0359,19.0266,276.4,3.25,75,87,5.13,PL,1674818760
333,sao francisco do sul,-26.2433,-48.6381,295.93,22.78000000000003,78,10,1.66,BR,1674818760
334,bethalto,38.9092,-90.0407,270.96,-2.1899999999999977,84,100,3.09,US,1674818761
335,samarai,-10.6167,150.6667,301.35,28.200000000000045,76,54,6.06,PG,1674818761
336,doha,25.2867,51.5333,294.32,21.170000000000016,77,75,5.66,QA,1674818761
337,twentynine palms,34.1356,-116.0542,282.08,8.930000000000007,40,0,1.34,US,1674818762
338,chaguanas,10.5167,-61.4167,294.91,21.760000000000048,58,20,0.0,TT,1674818762
339,aklavik,68.2191,-135.0107,250.12,-23.029999999999973,98,100,1.5,CA,1674818762
340,wonthaggi,-38.6044,145.5913,290.27,17.120000000000005,78,0,4.59,AU,1674818762
341,celestun,20.8667,-90.4,294.63,21.480000000000018,85,100,6.16,MX,1674818763
342,qui nhon,13.7667,109.2333,295.67,22.52000000000004,84,53,8.95,VN,1674818626
